SELECT sk.state_name, EXTRACT(YEAR FROM cc.date_of_decision) AS disposal_year, COUNT(cc.ddl_case_id) AS disposed_cases
FROM cases_clean cc
JOIN state_key sk ON cc.state_code = sk.state_code AND cc.year = sk.year
WHERE cc.date_of_decision IS NOT NULL
GROUP BY sk.state_name, disposal_year
ORDER BY sk.state_name, disposal_year;
    state_name      disposal_year  disposed_cases
-------------------+---------------+----------------
 Andhra Pradesh              2010           10621
 Andhra Pradesh              2011           58720
 Andhra Pradesh              2012           93347
 Andhra Pradesh              2013           95950
 Andhra Pradesh              2014          186397
 Andhra Pradesh              2015          240221
 Andhra Pradesh              2016          236054
 Andhra Pradesh              2017          296673
 Andhra Pradesh              2018          328601
 Assam                       2010            1596
 Assam                       2011           17336
 Assam                       2012           41706
 Assam                       2013           91821
 Assam                       2014           98930
 Assam                       2015          125511
 Assam                       2016          116091
 Assam                       2017          203524
 Assam                       2018          216597
 Bihar                       2010            2032
 Bihar                       2011           11957
 Bihar                       2012           15689
 Bihar                       2013           49377
 Bihar                       2014          137736
 Bihar                       2015          204316
 Bihar                       2016          210990
 Bihar                       2017          280440
 Bihar                       2018          378668
 Chandigarh                  2010              81
 Chandigarh                  2011            2319
 Chandigarh                  2012           14401
 Chandigarh                  2013           15083
 Chandigarh                  2014           30247
 Chandigarh                  2015           30958
 Chandigarh                  2016           27335
 Chandigarh                  2017           29748
 Chandigarh                  2018           33962
 Chhattisgarh                2010             462
 Chhattisgarh                2011            5779
 Chhattisgarh                2012           17303
 Chhattisgarh                2013           28762
 Chhattisgarh                2014           72927
 Chhattisgarh                2015          122073
 Chhattisgarh                2016          142186
 Chhattisgarh                2017          174103
 Chhattisgarh                2018          215953
 Delhi                       2010           27447
 Delhi                       2011           52419
 Delhi                       2012           69133
 Delhi                       2013           81963
 Delhi                       2014          123192
 Delhi                       2015          119068
 Delhi                       2016          213503
 Delhi                       2017          302828
 Delhi                       2018          372442
 Diu and Daman               2010              78
 Diu and Daman               2011             238
 Diu and Daman               2012            1050
 Diu and Daman               2013            1310
 Diu and Daman               2014            1070
 Diu and Daman               2015            1425
 Diu and Daman               2016            1712
 Diu and Daman               2017            1815
 Diu and Daman               2018            1799
 DNH at Silvasa              2010              39
 DNH at Silvasa              2011             206
 DNH at Silvasa              2012             720
 DNH at Silvasa              2013            1000
 DNH at Silvasa              2014             852
 DNH at Silvasa              2015             862
 DNH at Silvasa              2016            1121
 DNH at Silvasa              2017            1157
 DNH at Silvasa              2018            1704
 Goa                         2010           10847
 Goa                         2011           15828
 Goa                         2012           23986
 Goa                         2013           25670
 Goa                         2014           28170
 Goa                         2015           32545
 Goa                         2016           30494
 Goa                         2017           34897
 Goa                         2018           34901
 Gujarat                     2010           68929
 Gujarat                     2011          146530
 Gujarat                     2012          211822
 Gujarat                     2013          366708
 Gujarat                     2014          574406
 Gujarat                     2015          601224
 Gujarat                     2016          705111
 Gujarat                     2017          771778
 Gujarat                     2018          765850
 Haryana                     2010             782
 Haryana                     2011           31990
 Haryana                     2012          118508
 Haryana                     2013          177005
 Haryana                     2014          375318
 Haryana                     2015          465307
 Haryana                     2016          545773
 Haryana                     2017          524779
 Haryana                     2018          586658
 Himachal Pradesh            2010             364
 Himachal Pradesh            2011            3226
 Himachal Pradesh            2012           30089
 Himachal Pradesh            2013           46393
 Himachal Pradesh            2014           61524
 Himachal Pradesh            2015           97889
 Himachal Pradesh            2016           90981
 Himachal Pradesh            2017          115766
 Himachal Pradesh            2018          267981
 Jammu and Kashmir           2010              25
 Jammu and Kashmir           2011            2236
 Jammu and Kashmir           2012           17053
 Jammu and Kashmir           2013           14881
 Jammu and Kashmir           2014           16654
 Jammu and Kashmir           2015           30710
 Jammu and Kashmir           2016           18771
 Jammu and Kashmir           2017           36340
 Jammu and Kashmir           2018           75492
 Jharkhand                   2010             586
 Jharkhand                   2011            5424
 Jharkhand                   2012           21903
 Jharkhand                   2013           44098
 Jharkhand                   2014           59807
 Jharkhand                   2015           99077
 Jharkhand                   2016           91361
 Jharkhand                   2017          158352
 Jharkhand                   2018          275271
 Karnataka                   2010          153098
 Karnataka                   2011          286761
 Karnataka                   2012          596278
 Karnataka                   2013          716421
 Karnataka                   2014          914321
 Karnataka                   2015          956183
 Karnataka                   2016          930942
 Karnataka                   2017         1005514
 Karnataka                   2018         1046556
 Kerala                      2010           43667
 Kerala                      2011          100459
 Kerala                      2012          153665
 Kerala                      2013          244191
 Kerala                      2014          402338
 Kerala                      2015          567376
 Kerala                      2016          627424
 Kerala                      2017          663756
 Kerala                      2018          694162
 Ladakh                      2017             167
 Ladakh                      2018             504
 Madhya Pradesh              2010           88789
 Madhya Pradesh              2011          182459
 Madhya Pradesh              2012          253821
 Madhya Pradesh              2013          378624
 Madhya Pradesh              2014          521487
 Madhya Pradesh              2015          522887
 Madhya Pradesh              2016          606002
 Madhya Pradesh              2017          728560
 Madhya Pradesh              2018          823235
 Maharashtra                 2010          192035
 Maharashtra                 2011          371784
 Maharashtra                 2012          599530
 Maharashtra                 2013          711862
